"table_name","column_name"
"morpho_blue_etl_public_allocator_public_reallocate_to","contract_address"
"morpho_blue_etl_public_allocator_public_reallocate_to","sender"
"morpho_blue_etl_public_allocator_public_reallocate_to","vault"
"morpho_blue_etl_public_allocator_public_reallocate_to","supply_market_id"
"morpho_blue_etl_public_allocator_public_reallocate_to","supplied_assets"
"morpho_blue_etl_public_allocator_public_reallocate_to","tx_hash"
"morpho_blue_etl_public_allocator_public_reallocate_to","block_number"
"morpho_blue_etl_public_allocator_public_reallocate_to","block_hash"
"morpho_blue_etl_public_allocator_public_reallocate_to","network"
"morpho_blue_etl_public_allocator_public_reallocate_to","tx_index"
"morpho_blue_etl_public_allocator_public_reallocate_to","log_index"
"morpho_blue_etl_public_allocator_public_reallocate_to","_peerdb_synced_at"
"morpho_blue_etl_public_allocator_public_reallocate_to","_peerdb_is_deleted"
"morpho_blue_etl_public_allocator_public_reallocate_to","_peerdb_version"
"morpho_blue_etl_public_allocator_public_withdrawal","rindexer_id"
"morpho_blue_etl_public_allocator_public_withdrawal","contract_address"
"morpho_blue_etl_public_allocator_public_withdrawal","sender"
"morpho_blue_etl_public_allocator_public_withdrawal","vault"
"morpho_blue_etl_public_allocator_public_withdrawal","id"
"morpho_blue_etl_public_allocator_public_withdrawal","withdrawn_assets"
"morpho_blue_etl_public_allocator_public_withdrawal","tx_hash"
"morpho_blue_etl_public_allocator_public_withdrawal","block_number"
"morpho_blue_etl_public_allocator_public_withdrawal","block_hash"
"morpho_blue_etl_public_allocator_public_withdrawal","network"
"morpho_blue_etl_public_allocator_public_withdrawal","tx_index"
"morpho_blue_etl_public_allocator_public_withdrawal","log_index"
"morpho_blue_etl_public_allocator_public_withdrawal","_peerdb_synced_at"
"morpho_blue_etl_public_allocator_public_withdrawal","_peerdb_is_deleted"
"morpho_blue_etl_public_allocator_public_withdrawal","_peerdb_version"
